content,appName
"Apk nya aku uninstall jelek sekali klw bisa sistem penumpang jgn diadain rating untuk BINTANG PENUMPANG HAPUS AJJ,orang kerja buru2 atau ada hal yg gak disengaja bahkan gimana kalau yg order orang awam seperti sudah lanjut usia yg di pegang anakny masih sekolah atau org tua itu sendri ,nunggunya lma klw penumpang dalam keadaan sakit dan rating penumpang jelek harus nunggu gtu yg berkali² di cancel!!! TOLONG LAH RANTING BINTANG BUAT PENUMPANG GK USAH DIADAIN HAPUUUUUS SISTEMNYA KAPOK JADINYAa!!!",inDrive
sangat memuaskan pelayanan,inDrive
"pelayanan nya dan tanggung jawab tidak ada, terjadi laka tidak ada asuransi dan juga barang tertinggal kepada siapa mengadu, dan teman saya mengirim paket dan barang tidak sampai tidak ada dukungan untuk pengaduan",inDrive
"untuk yg terhormat developer, perbaiki aplikasinya ngebug terusss , terus titik untuk jemputnya kdg ga sesuai titik, masak di sasarin ke sawah jdnya yang disalahin kalau telat itu driver , terus saldo yg dipotong driver kan kocak yg salah pdahal aplikasinya.",inDrive
"bagud ,cepat",inDrive
sangat cocok digunakan,inDrive
bagus,inDrive
terimakasih,inDrive
tolong motor yamaha fazzio diadakan di daftar.saya & banyak kawan-kawan saya banyak yang memakai motor yamaha fazzio tetapi belum juga ada atau tidak tertera didaftar.terimakasih,inDrive
bagus,inDrive
"Kak, saya ga bisa buka aplikasi karena no hp nya sudah ganti, bisa dibantu ga?",inDrive
banyak mood berkeliaran ko ga ke detek sih harusnya bisa ke detek agar ga ada kelicikan,inDrive
mudah d gunakan,inDrive
oke,inDrive
"setelah di update ke versi terbaru, orderan jadi susah masuk.. lelang juga jadi susah dapet nya..mhn di perbaiki",inDrive
cukup membantu,inDrive
bagus. trus meningkat pengguna nya. walau blm serame duo ijo dan si kuning. tp sayang blm afa heat map nya kyk si ijo. update berikutnya tlg tambahin heat map ntuk pengemudi dong.,inDrive
sangat bagus,inDrive
susah sekali verifikasi data,inDrive
kadang suka error saya sudah sampai d titik penjemputan tapi tombol SAYA SUDAH DI SINI engga bisa d pencet,inDrive
Bagus sekali dengan pelayanan nya,inDrive
semoga sukses in Driver,inDrive
"driver, dan kendaraan sering beda, bahaya x untuk penumpang perempuan, kantor buat pengaduan gaada. semoga kedepannya akun driver itu gabisa diperjual belikan macem grab, jd 1 nama aja, customer pun jd ga takut naik",inDrive
tlong dlu applikasi nya di btulin lagi..saya bgtu smpai di titik penjemputan penumpang masa'an enggak bsa di tekan saya udh smpai,inDrive
"IT BUSUK, makin update kirain bagus. gabisa klik saya disini, ujungnya cancel semua. reputasi akun semoga ngga kena imbasnya",inDrive
