content,appName
"Lama idle nunggu orderan.. dicocol banyak patah hati\ orderan bangkai.. kudu dipelototin mulu, gk bs nyantai.. satu orderan aja kliknya berkali², ya order, ya harga, ya waktu, repot, gk guna autobid.. 12% saldo makin cepet nyusut.. 6km ke atas jgn dilistkan lah, kan udah bejibun drivernyah... katanya cuma 2 pilihan driver skrg:? Balikin lah ke 8 atw brp gitu sblmnya... Bosen aku marah², harusnya ngertiin driver lah.",inDrive
Apk sering reload muter blank padahal ram 8 GB fitur kurang bagus,inDrive
Respon Dukungannya lama sekali.. Oke nanti kalo udah bagus di kasih bintang ⭐⭐⭐⭐⭐⭐⭐⭐ Oke sudah ada peningkatan,inDrive
Tolong harusnya aplikasi penumpang dibedain soalnya banyak driver yg iseng pake order fiktif.,inDrive
inDreve.sangat bagus,inDrive
pengemudi baik dan sopan,inDrive
"ya cukup baik dan standar, dan saya baru pettama kali mengunakan inDrive",inDrive
"apk yg tidak pro ke driver, customer kasih bintang 2 ke driver langsung ditanggapi, padahal ga tau masalahnya apa, itu boncengan lebih dari 2, apk sampah",inDrive
baik,inDrive
"Aplikasi nya kurang ,, hilang kritical nya,, tolong perbaiki semangat naik versi makin nyedot ke batre hape ,,tolong perbaiki terimakasih 🙏🙏🙏",inDrive
Aplikasi tidak manusiawi,inDrive
Bagus dan bermanfaat banget disaat dibutuhkan😃😃,inDrive
sangat membantu,inDrive
Kalau memang sudah diterima pengemudi lain.. tolong hilangkanlah di bar pada tampilan aplikasi driver nya.. jadi ga capek mengskip nya,inDrive
"Titik penjemputan sudah tidak seperti biasa.,terlalu jauh tidak sesuai dengan tarif nya.",inDrive
Okay Mntap,inDrive
"Aduhhh habis di update kok gak tambah² rame malah sepi, udah pakai auto bid tapi gak ada respon bunyi padahal jarak deket.",inDrive
Mudah dalam proses,inDrive
Mau ke mana aja makin gampang pake undriver,inDrive
Sanggat baik,inDrive
"aplikasi mulai bagus. cuma sayang driver nya jarang ngasih kembalian, contoh 40rb ngasih 50,an gak di kembalian.",inDrive
tolong VOLUME SUARA NOTIFIKASI OTOMATIS MENERIMA ORDERANNYA di PPERBESAR LAGI !!!!! Di jalan raya BISING. Suara notif ga kedengeran !!! maxim grab gojek suara notif bisa kencang. kenapa ini ga bisa ????,inDrive
bagus mantap,inDrive
"Sekarang dengan ada nya akun Prio,susah dapat orderan. Akun saya original tanpa bantuan apapun",inDrive
nyaman,inDrive
orangnya ramah banget,inDrive
Skck saya udah bener loh tapi kok nggk di verifikasi? Yg bener dong gw udah top up 50.000 loh,inDrive
"Gk diperbaharui sistem aplikasinya, masa orderan fiktif yg membatalkan orderan bisa memberikan penilaina, impasnya sama driver jadinya uda sampe dititik ternyata dibatalkan baru di kasih bintang 1 lagi",inDrive
"Aplikasi busuk,saldo masih 15k lagi. udah sibuk suruh isi saldo, Bukanya dapetnya banyak kali",inDrive
bagus,inDrive
trimakasih untuk inDrive,inDrive
Good Apps . . recommended..,inDrive
murce banget,inDrive
The new vertion semoga gacor versi 5.109. versi sebelumnya sedikit orderan,inDrive
sip bagus ok,inDrive
bagus banget... driver nya cepet banget nyampe lokasinya,inDrive
Baru ngoni le org so buang doi p bnya da urus SIM dg SKCK serta trg krm berkas krna ngoni mnta verifikasi malah ngoni tolak trg p dokumen. Mmg aplikasi indraiver kdcq,inDrive
baguss,inDrive
baik,inDrive
ok,inDrive
"Kenapa ya mesti hrus diperbaharui lgi,smngt merugikan jdi ga pnya pndapatan butuh waktu yg lmyan lam",inDrive
kecewa. driver tidak di lindungi. akun saya diblokir. padahal saya korban dari orderan fiktif.,inDrive
sangat membantu,inDrive
Orderan di censel truss saldo ke potong 12 rebu ga di balikin parah banget tolong lahh aplikasi nya jangan ngambil duit derever kasian parah si,inDrive
"Armada datang cepat dan bayar lebih murah, jadi karena kasihan beri tips",inDrive
Aplikasi BUSUK yang bikin sengsara Driver karena harga tidak manusiawi seperti umumnya GOJEK & GRAB,inDrive
Apk nya udah bagus tapi kenapa pengemudi selalu ga sesuai dengan aslinya Mohon di tindak lanjuti,inDrive
terdapat bug pada auto bid yang dimana orderan masuk tidak terlihat,inDrive
mapnya sering blank,inDrive
baik,inDrive
Aplikasi buruk lebih membela customer dr pada driver nya...,inDrive
Semoga aplikasinya bagus dan sesuai harapan kita semua bg pemakai aplikasi ni ..trimakasih,inDrive
